,Unnamed: 0,Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
7929,7929,GE,uttar_pradesh,16,59,2014,4.0,11,ajaykumarprabhakar,M,BMUP,3200,SC,873728,1710825,gonda,51.07,0.37,645,0.07,1074,Graduate Professional
2668,2668,GE,karnataka,16,3,2014,4.0,2,ajaykumarsarnaik,M,INC,454988,GEN,1079310,1568633,bagalkot,68.81,42.16,444029,41.14,3482,Graduate
5443,5443,GE,rajasthan,16,6,2014,4.0,7,ajaykumarsharma,M,JGP,5774,GEN,1013691,1700307,jaipur_rural,59.62,0.57,1254,0.12,4007,Graduate
1551,1551,GE,delhi,16,4,2014,4.0,3,ajaymakan,M,INC,182893,GEN,969812,1490147,new_delhi,65.08,18.86,162865,16.79,3482,Post Graduate
790,790,GE,bihar,16,15,2014,4.0,1,ajaynishad,M,BJP,469295,GEN,948887,1551363,muzaffarpur,61.16,49.46,222422,23.44,1605,Graduate
7119,7119,GE,uttar_pradesh,16,11,2014,4.0,15,ajaypal,M,IND,440,GEN,1004263,1505175,baghpat,66.72,0.04,0,0.0,10809,8th Pass
5428,5428,GE,rajasthan,16,5,2014,4.0,8,ajaypal,M,IND,7036,GEN,1065750,1769882,sikar,60.22,0.66,1649,0.15,10809,10th Pass
1321,1321,GE,chhattisgarh,16,5,2014,4.0,17,ajaypali,M,IND,2237,GEN,1090457,1729229,bilaspur,63.06,0.21,178,0.02,10809,Literate
7646,7646,GE,uttar_pradesh,16,41,2014,4.0,3,ajaypalsinghjatav,M,BSP,192804,SC,939604,1707237,etawah,55.04,20.52,179407,19.09,16651,Post Graduate
3933,3933,GE,maharashtra,16,6,2014,4.0,4,ajaypanjabraohingankar,M,AAAP,8076,GEN,978491,1672643,akola,58.5,0.83,218,0.02,13,Graduate
3530,3530,GE,madhya_pradesh,16,9,2014,4.0,10,ajaypratapsingh,M,IND,2021,GEN,913444,1458381,satna,62.63,0.22,327,0.04,10809,12th Pass
8243,8243,GE,uttar_pradesh,16,77,2014,4.0,3,ajayrai,M,INC,75614,GEN,1030685,1766487,varanasi,58.35,7.34,15035,1.46,3482,Graduate
3776,3776,GE,madhya_pradesh,16,25,2014,4.0,4,ajayrawat,M,BSP,14666,ST,1076816,1668441,dhar,64.54,1.36,3185,0.3,16651,12th Pass
3829,3829,GE,madhya_pradesh,16,29,2014,4.0,2,ajayshahmakrai,M,INC,315037,ST,1047719,1607831,betul,65.16,30.07,288311,27.52,3482,Post Graduate
3522,3522,GE,madhya_pradesh,16,9,2014,4.0,2,ajaysinghrahulbhaiyya,M,INC,366600,GEN,913444,1458381,satna,62.63,40.13,241998,26.49,3482,Post Graduate
1228,1228,GE,chandigarh,16,1,2014,4.0,11,ajaysingla,M,IND,660,GEN,453455,615214,chandigarh,73.71,0.15,20,0.0,10809,10th Pass
8366,8366,GE,uttarakhand,16,3,2014,4.0,1,ajaytamta,M,BJP,348186,SC,656525,1253541,almora,52.37,53.03,95690,14.58,1605,12th Pass
4525,4525,GE,maharashtra,16,34,2014,4.0,29,ajayvasantpaithankar,M,IND,343,GEN,993278,1835835,pune,54.1,0.03,40,0.0,10809,Graduate
7408,7408,GE,uttar_pradesh,16,29,2014,4.0,8,ajayverma,M,BJKD,6144,GEN,1060271,1558041,dhaurahra,68.05,0.58,2123,0.2,9086,Graduate
1381,1381,GE,chhattisgarh,16,8,2014,4.0,9,ajayverma,M,CSM,4963,GEN,1250845,1904460,raipur,65.68,0.4,647,0.05,2137,Others
4026,4026,GE,maharashtra,16,10,2014,4.0,23,ajazkhan,M,IND,542,GEN,1085038,1900784,nagpur,57.08,0.05,3,0.0,10809,
7823,7823,GE,uttar_pradesh,16,52,2014,4.0,12,ajeetkumar,M,IND,3388,GEN,891586,1666569,allahabad,53.5,0.38,73,0.01,10809,12th Pass
3800,3800,GE,madhya_pradesh,16,26,2014,4.0,20,ajeetkumarjainpatwadhartipakad,M,IND,554,GEN,1316817,2115303,indore,62.25,0.04,37,0.0,10809,8th Pass
7325,7325,GE,uttar_pradesh,16,23,2014,4.0,9,ajeetpalsingh,M,PECP,3421,SC,1027594,1769145,badaun,58.08,0.33,560,0.05,5995,Graduate
4767,4767,GE,maharashtra,16,46,2014,4.0,9,ajinkyadhondugawade,M,IND,2332,GEN,896256,1367362,ratnagiri_-_sindhudurg,65.55,0.26,340,0.04,10809,Graduate
810,810,GE,bihar,16,15,2014,4.0,21,ajitanshgaur,M,IND,2755,GEN,948887,1551363,muzaffarpur,61.16,0.29,284,0.03,10809,Post Graduate
4250,4250,GE,maharashtra,16,20,2014,4.0,8,ajitdadabhikapawar,M,IND,5177,ST,970182,1530208,dindori,63.4,0.53,1110,0.11,10809,Graduate
3344,3344,GE,kerala,16,17,2014,4.0,14,ajithkumarkk,M,IND,748,SC,869452,1323906,pathanamthitta,65.67,0.09,66,0.01,10809,Graduate
1411,1411,GE,chhattisgarh,16,9,2014,4.0,2,ajitjogi,M,INC,502297,ST,1131209,1516177,mahasamund,74.61,44.4,482042,42.61,3482,Graduate Professional
3380,3380,GE,kerala,16,20,2014,4.0,4,ajitjoy,M,AAAP,14153,GEN,873441,1272748,thiruvananthapuram,68.63,1.62,9333,1.07,13,Post Graduate
2624,2624,GE,jharkhand,16,14,2014,4.0,8,ajitkumarsingh,M,AITC,8360,GEN,967152,1518923,hazaribagh,63.67,0.86,201,0.02,18228,12th Pass
8877,8877,GE,west_bengal,16,35,2014,4.0,8,ajitprasadmahata,M,JVM,9012,GEN,1204675,1471933,purulia,81.84,0.75,1626,0.13,4736,Graduate
7107,7107,GE,uttar_pradesh,16,11,2014,4.0,3,ajitsingh,M,RLD,199516,GEN,1004263,1505175,baghpat,66.72,19.87,57773,5.75,12169,Post Graduate
2679,2679,GE,karnataka,16,3,2014,4.0,13,ajjodibheemappadhoolappa,M,IND,994,GEN,1079310,1568633,bagalkot,68.81,0.09,181,0.02,10809,Post Graduate
1724,1724,GE,gujarat,16,6,2014,4.0,10,ajmalbhairamabhaivaniya,M,BMUP,1639,SC,1135495,1733972,gandhinagar,65.49,0.14,165,0.01,1074,Graduate
7614,7614,GE,uttar_pradesh,16,39,2014,4.0,10,ajmalkhan,M,IND,3342,GEN,894456,1716394,pratapgarh,52.11,0.37,340,0.04,10809,Graduate Professional
5702,5702,GE,rajasthan,16,24,2014,4.0,6,ajmatali,M,BYS,7559,GEN,1154960,1744539,kota,66.2,0.65,2468,0.21,1864,8th Pass
3359,3359,GE,kerala,16,18,2014,4.0,12,ajosekutty,M,IND,1702,GEN,879056,1219415,kollam,72.09,0.19,0,0.0,10809,10th Pass
8255,8255,GE,uttar_pradesh,16,77,2014,4.0,15,akaggarwal,M,AGRJP,2037,GEN,1030685,1766487,varanasi,58.35,0.2,37,0.0,98,10th Pass
1506,1506,GE,delhi,16,2,2014,4.0,6,akaggarwal,M,AGRJP,3191,GEN,1317338,1957708,north_east_delhi,67.29,0.24,772,0.06,98,10th Pass
6433,6433,GE,tamil_nadu,16,32,2014,4.0,29,akannan,M,IND,423,GEN,974809,1441434,madurai,67.63,0.04,31,0.0,10809,8th Pass
5720,5720,GE,sikkim,16,1,2014,4.0,4,akardhojlimbu,M,INC,7189,ST,308967,370770,sikkim,83.33,2.33,2857,0.92,3482,Graduate Professional
3422,3422,GE,madhya_pradesh,16,1,2014,4.0,18,akashgupta,M,IND,809,GEN,854279,1702457,morena,50.18,0.09,0,0.0,10809,Graduate
7921,7921,GE,uttar_pradesh,16,59,2014,4.0,3,akbarahmaddumpy,M,BSP,116178,GEN,873728,1710825,gonda,51.07,13.3,13924,1.59,16651,Graduate
7051,7051,GE,uttar_pradesh,16,7,2014,4.0,4,akbarhusain,M,BSP,81006,GEN,956389,1616972,rampur,59.15,8.47,74101,7.75,16651,10th Pass
2215,2215,GE,haryana,16,9,2014,4.0,10,akbarkasmi,M,RUC,1429,GEN,1320620,1844906,gurgaon,71.58,0.11,276,0.02,6870,Others
