,Candidate,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Year,Category,Votes,ValidVotes,VoteSharePercentage,PartyID
378,drupadborgohain,CPI,0,Graduate,68,M,183979.0,350000,0,assam,jorhat,2009,GEN,74185,763455,9.72,2444
379,kamakhyatasa,BJP,0,Post Graduate,34,M,1110978.0,0,0,assam,jorhat,2009,GEN,290406,763455,38.04,1605
380,navaprokashsonowal,IND,0,10th Pass,36,M,1073685.0,0,0,assam,jorhat,2009,ST,4561,763455,0.6,10809
381,rajkumardowarah,IND,0,Graduate,43,M,431000.0,240000,0,assam,jorhat,2009,GEN,5766,763455,0.76,10809
382,dipgogoi,INC,0,Graduate,57,M,2539058.0,0,1,assam,kaliabor,2009,GEN,434676,960563,45.25,3482
383,binodgogoi,IND,0,Graduate,38,M,50000.0,0,0,assam,kaliabor,2009,GEN,9399,960563,0.98,10809
384,guninhazarika,AGP,0,Post Graduate,61,M,8483272.0,134950,0,assam,kaliabor,2009,GEN,282687,960563,29.43,978
385,kamalhazarika,IND,0,10th Pass,48,M,181500.0,0,0,assam,kaliabor,2009,GEN,5782,960563,0.6,10809
386,mridulbaruah,IND,1,Graduate Professional,37,M,599000.0,0,0,assam,kaliabor,2009,GEN,18595,960563,1.94,10809
387,paulnayak,IND,0,Not Given,40,M,1041114.0,0,0,assam,kaliabor,2009,GEN,4663,960563,0.49,10809
