,Unnamed: 0,Unnamed: 0.1,Election_Type,Assembly_No,Constituency_No,Year,month,Position,Candidate,State_Name,Constituency_Name,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
2488,2488,2488,GE,14,13,2004,4.0,7,manojgothiya,madhya_pradesh,mandla,M,SP,9467,ST,588269,1095134,53.72,1.61,2775,0.47,7425,5th Pass
958,958,958,GE,14,40,2004,4.0,9,manojkumar,bihar,gaya,M,SP,1607,SC,883403,1436323,61.5,0.18,147,0.02,7425,Graduate Professional
1827,1827,1827,GE,14,8,2004,4.0,16,manojkumar,jharkhand,ranchi,M,SAP,1790,GEN,695754,1379179,50.45,0.26,198,0.03,7575,
1891,1891,1891,GE,14,13,2004,4.0,1,manojkumar,jharkhand,palamau,M,RJD,206733,SC,641543,1289313,49.76,32.22,55144,8.6,12103,Graduate
843,843,843,GE,14,32,2004,4.0,7,manojkumar,bihar,patna,M,IND,3541,GEN,901616,1741220,51.78,0.39,328,0.04,10809,8th Pass
3347,3347,3347,GE,14,3,2004,4.0,6,manojkumarduggal,punjab,tarn_taran,M,IND,2911,GEN,717375,1173431,61.13,0.41,1064,0.15,10809,
811,811,811,GE,14,30,2004,4.0,5,manojkumarmahto,bihar,begusarai,M,BSP,9480,GEN,678667,1280963,52.98,1.4,3700,0.55,16651,Graduate
841,841,841,GE,14,32,2004,4.0,5,manojkumarsingh,bihar,patna,M,BSP,12651,GEN,901616,1741220,51.78,1.4,8176,0.91,16651,Graduate Professional
4847,4847,4847,GE,14,39,2008,,13,manojkumarsingh,uttar_pradesh,balia,M,VP,1128,,541614,1521916,35.59,0.21,175,0.03,13060,
1768,1768,1768,GE,14,5,2006,,2,manojkumaryadav,jharkhand,koderma,M,INC,131731,GEN,757784,1349091,56.17,17.38,15839,2.09,3482,
5450,5450,5450,GE,14,78,2004,4.0,8,manojsaini,uttar_pradesh,muzaffarnagar,M,IND,3524,GEN,862408,1521778,56.67,0.41,1322,0.15,10809,
2366,2366,2366,GE,14,3,2007,,13,manojsharmaadvocateparth,madhya_pradesh,gwalior,M,IND,2473,,570585,1378757,41.38,0.43,774,0.14,10809,
2339,2339,2339,GE,14,2,2004,4.0,11,manojsingh,madhya_pradesh,bhind,M,IND,1679,GEN,606358,1388299,43.68,0.28,118,0.02,10809,Graduate
5577,5577,5577,GE,14,2,2004,4.0,2,manojtigga,west_bengal,alipurduars,M,BJP,239128,ST,840836,1045042,80.46,28.44,69629,8.28,1605,Graduate
5612,5612,5612,GE,14,6,2004,4.0,2,manomohanray,west_bengal,balurghat,M,BJP,344152,SC,925631,1129369,81.96,37.18,225048,24.31,1605,10th Pass
2050,2050,2050,GE,14,18,2004,4.0,1,manoramamadhwaraj,karnataka,udupi,F,BJP,369627,GEN,780356,1138398,68.55,47.37,29003,3.72,1605,Graduate
0,0,0,GE,14,1,2004,4.0,1,manoranjanbhakta,andaman_and_nicobar_islands,andaman_and_nicobar_islands,M,INC,85794,GEN,153825,241645,63.66,55.77,30500,19.83,3482,Post Graduate
372,372,372,GE,14,2,2004,4.0,11,manoranjandas,assam,silchar,M,IND,1419,SC,608233,879243,69.18,0.23,0,0.0,10809,8th Pass
541,541,541,GE,14,7,2004,4.0,7,manoranjankumarsrivastava,bihar,chapra,M,IND,5264,GEN,446101,1164917,38.29,1.18,2077,0.47,10809,Not Given
401,401,401,GE,14,6,2004,4.0,6,manoranjantalukdar,assam,barpeta,M,CPM,48607,GEN,762681,1075749,70.9,6.37,43024,5.64,14635,Graduate
2554,2554,2554,GE,14,17,2008,,6,mansharam,madhya_pradesh,betul,M,IND,9440,,656051,1090804,60.14,1.44,2588,0.39,10809,
3152,3152,3152,GE,14,46,2006,,8,mansingdhareshwarpatil,maharashtra,sangli,M,IND,3389,,602752,1197744,50.32,0.56,0,0.0,10809,
4244,4244,4244,GE,14,1,2004,4.0,9,mansinghashok,uttar_pradesh,bijnor,M,IND,3662,SC,705737,1355437,52.07,0.52,40,0.01,10809,
2469,2469,2469,GE,14,11,2004,4.0,7,mansinghsemaliya,madhya_pradesh,shahdol,M,AD,16869,ST,509340,1305252,39.02,3.31,6933,1.36,954,
1410,1410,1410,GE,14,25,2004,4.0,2,mansinhpatel,gujarat,mandvi,M,BJP,213210,ST,644812,1149161,56.11,33.07,188154,29.18,1605,
5490,5490,5490,GE,14,80,2004,4.0,2,mansooralikhan,uttar_pradesh,saharanpur,M,BSP,326444,GEN,990415,1566135,63.24,32.96,96098,9.7,16651,Graduate Professional
1296,1296,1296,GE,14,5,2004,4.0,7,mansukhbhaisundarjidhokai,gujarat,porbandar,M,IND,3409,GEN,490480,995027,49.29,0.7,0,0.0,10809,
5789,5789,5789,GE,14,24,2004,4.0,4,mantudas,west_bengal,howrah,M,IND,5788,SC,911632,1240427,73.49,0.63,1775,0.19,10809,Graduate
5516,5516,5516,GE,14,1,2007,,2,manujendrashah,uttarakhand,tehrigharwal,M,BJP,328414,,860264,1413822,60.85,38.18,258955,30.1,1605,
1300,1300,1300,GE,14,6,2004,4.0,4,manvarmadhukarbhojabhai,gujarat,junagadh,M,BSP,11757,SC,658706,1239398,53.15,1.78,4017,0.61,16651,
5038,5038,5038,GE,14,50,2007,,6,manvendrabahadursingh,uttar_pradesh,mirzapur,M,JM,15949,,687838,1612444,42.66,2.32,435,0.06,4139,
3625,3625,3625,GE,14,23,2004,4.0,1,manvendrasingh,rajasthan,barmer,M,BJP,631851,GEN,1048698,1639188,63.98,60.25,271888,25.93,1605,Post Graduate
5330,5330,5330,GE,14,70,2004,4.0,1,manvendrasingh,uttar_pradesh,mathura,M,INC,187400,GEN,602187,1277346,47.14,31.12,38132,6.33,3482,12th Pass
1828,1828,1828,GE,14,8,2004,4.0,17,maquboolahmad,jharkhand,ranchi,M,LJNSP,1592,GEN,695754,1379179,50.45,0.23,143,0.02,5029,
4158,4158,4158,GE,14,35,2004,4.0,5,mariappanmi,tamil_nadu,sivakasi,M,IND,4088,GEN,830643,1313594,63.23,0.49,3,0.0,10809,
3671,3671,3671,GE,14,1,2004,4.0,19,marimuthup,tamil_nadu,madras_north,M,IND,493,GEN,915865,2000866,45.77,0.05,69,0.01,10809,
4143,4143,4143,GE,14,34,2004,4.0,8,maripitchaik,tamil_nadu,ramanathapuram,M,IND,2457,GEN,674387,1147726,58.76,0.36,248,0.04,10809,
3902,3902,3902,GE,14,15,2004,4.0,5,mariyappanmp,tamil_nadu,rasipuram,M,BSP,6403,SC,695976,1132426,61.46,0.92,2232,0.32,16651,
132,132,132,GE,14,19,2004,4.0,4,marlapativemaiah,andhra_pradesh,nellore,M,BSP,9395,SC,836502,1153181,72.54,1.12,3412,0.41,16651,Graduate
337,337,337,GE,14,42,2004,4.0,3,marrynehemiah,andhra_pradesh,miryalguda,M,IND,9566,GEN,962599,1289342,74.66,0.99,110,0.01,10809,Graduate
5856,5856,5856,GE,14,33,2004,4.0,6,masanghemram,west_bengal,jhargram,M,IND,10223,ST,795312,1029496,77.25,1.29,790,0.1,10809,8th Pass
3413,3413,3413,GE,14,9,2004,4.0,15,mastermanjeetsinghwalia,punjab,ludhiana,M,BGTD,1123,GEN,869927,1560468,55.75,0.13,340,0.04,9056,
4495,4495,4495,GE,14,17,2004,4.0,3,mastram,uttar_pradesh,mohanlalganj,M,BJP,115989,SC,571879,1278376,44.73,20.28,12062,2.11,1605,Graduate
4940,4940,4940,GE,14,45,2004,4.0,4,mataprasad,uttar_pradesh,saidpur,M,INC,45193,SC,711340,1535355,46.33,6.35,9281,1.3,3482,12th Pass
3941,3941,3941,GE,14,18,2004,4.0,2,mathanmmastermathanm,tamil_nadu,nilgiris,M,BJP,257619,GEN,780890,1317502,59.27,32.99,246970,31.63,1605,
3661,3661,3661,GE,14,1,2004,4.0,9,mathit,tamil_nadu,madras_north,M,IND,1602,GEN,915865,2000866,45.77,0.17,108,0.01,10809,
3461,3461,3461,GE,14,13,2004,4.0,14,mathradass,punjab,ferozepur,M,PTSS,878,GEN,866640,1302221,66.55,0.1,106,0.01,12008,
4921,4921,4921,GE,14,43,2004,4.0,10,mathuraprasad,uttar_pradesh,machhlishahr,M,IND,3202,SC,676371,1474056,45.89,0.47,81,0.01,10809,
5822,5822,5822,GE,14,27,2004,4.0,5,matilalmandal,west_bengal,hooghly,M,BSP,11001,SC,924919,1161683,79.62,1.19,0,0.0,16651,Graduate
4263,4263,4263,GE,14,2,2004,4.0,12,matlub,uttar_pradesh,amroha,M,RSBP,1108,GEN,885159,1342541,65.93,0.13,146,0.02,12378,
5151,5151,5151,GE,14,57,2004,4.0,13,matukushwaha,uttar_pradesh,jhansi,M,RSMD,1860,SC,819646,1526320,53.7,0.23,371,0.05,6825,
351,351,351,GE,14,2,2004,4.0,4,matwangchimyang,arunachal_pradesh,arunachal_east,M,IND,16476,ST,163374,289606,56.41,10.08,11225,6.87,10809,10th Pass
5517,5517,5517,GE,14,1,2007,,3,matwarsinghrana,uttarakhand,tehrigharwal,M,UKD,69459,,860264,1413822,60.85,8.07,42007,4.88,8464,
1292,1292,1292,GE,14,5,2004,4.0,3,mavaniajaybhaivrujlal,gujarat,porbandar,M,IND,14064,GEN,490480,995027,49.29,2.87,5157,1.05,10809,
4593,4593,4593,GE,14,23,2004,4.0,1,mayawati,uttar_pradesh,akbarpur,F,BSP,325019,SC,741572,1446088,51.28,43.83,58269,7.86,16651,Graduate Professional
3714,3714,3714,GE,14,3,2004,4.0,14,mazhaimenipandiyans,tamil_nadu,madras_south,M,IND,570,SC,934548,1949904,47.93,0.06,5,0.0,10809,
272,272,272,GE,14,37,2006,,5,mazharmohiuddin,andhra_pradesh,karimnagar,M,IND,11184,,793932,1419685,55.92,1.41,2029,0.26,10809,
2281,2281,2281,GE,14,19,2004,4.0,9,mbthankappan,kerala,chirayinkil,M,IND,1406,SC,669639,1020604,65.61,0.21,265,0.04,10809,Not Given
621,621,621,GE,14,15,2004,4.0,1,mdaliashraffatmi,bihar,darbhanga,M,RJD,427672,GEN,762657,1202456,63.42,56.08,143463,18.81,12103,Post Graduate
904,904,904,GE,14,36,2004,4.0,12,mdjamilansari,bihar,bikramganj,M,IND,1671,GEN,733986,1298849,56.51,0.23,31,0.0,10809,Not Given
691,691,691,GE,14,21,2004,4.0,10,mdkamaluddin,bihar,madhepura,M,JHP,3592,GEN,695674,1187490,58.58,0.52,68,0.01,11059,Others
221,221,221,GE,14,31,2004,4.0,4,mdpaulvedanth,andhra_pradesh,secunderabad,M,BSP,7816,GEN,973288,1850694,52.59,0.8,3028,0.31,16651,Graduate
5691,5691,5691,GE,14,14,2004,4.0,4,mdquamruzzaman,west_bengal,basirhat,M,SP,25773,GEN,907585,1107129,81.98,2.84,13286,1.46,7425,Others
738,738,738,GE,14,24,2004,4.0,13,mdriauzuddin,bihar,purnea,M,IND,4056,GEN,709015,1179491,60.11,0.57,754,0.11,10809,5th Pass
626,626,626,GE,14,15,2004,4.0,6,mdsafialam,bihar,darbhanga,M,IND,7534,GEN,762657,1202456,63.42,0.99,3914,0.51,10809,10th Pass
5649,5649,5649,GE,14,9,2004,4.0,9,mdsahabuddin,west_bengal,murshidabad,M,INL,4550,GEN,1007221,1197170,84.13,0.45,346,0.03,3842,
5765,5765,5765,GE,14,22,2004,4.0,1,mdsalim,west_bengal,calcutta_north_east,M,CPM,284427,GEN,568885,803853,70.77,50.0,73780,12.97,14635,Post Graduate
846,846,846,GE,14,32,2004,4.0,10,mdshahabuddin,bihar,patna,M,SP,1925,GEN,901616,1741220,51.78,0.21,123,0.01,7425,Graduate
2441,2441,2441,GE,14,9,2004,4.0,12,mdsiddiqueansari,madhya_pradesh,rewa,M,SAP,2490,GEN,630747,1461014,43.17,0.39,0,0.0,7575,
239,239,239,GE,14,33,2004,4.0,4,mdulfathali,andhra_pradesh,medak,M,IND,34476,GEN,901015,1259126,71.56,3.83,16019,1.78,10809,Not Given
1805,1805,1805,GE,14,7,2004,4.0,13,mdyunusansari,jharkhand,dhanbad,M,LJNSP,4342,GEN,941478,1749456,53.82,0.46,300,0.03,5029,
1221,1221,1221,GE,14,6,2004,4.0,13,mdzahid,delhi,delhi_sadar,M,IND,88,GEN,271544,471813,57.55,0.03,9,0.0,10809,10th Pass
3687,3687,3687,GE,14,2,2004,4.0,10,meenakshisundaramsp,tamil_nadu,madras_central,M,IND,501,GEN,512820,1045260,49.06,0.1,59,0.01,10809,
2546,2546,2546,GE,14,17,2004,4.0,6,meerauikey,madhya_pradesh,betul,F,GGP,11368,ST,547702,1122830,48.78,2.08,1940,0.35,3129,10th Pass
2019,2019,2019,GE,14,12,2004,4.0,7,meerlayaqhussain,karnataka,bangalore_north,M,IND,3604,GEN,1156845,2133579,54.22,0.31,901,0.08,10809,Not Given
4550,4550,4550,GE,14,19,2006,,16,meetsingh,uttar_pradesh,raebareilly,M,IND,693,,590025,1362461,43.31,0.12,0,0.0,10809,
228,228,228,GE,14,31,2004,4.0,11,meghamurali,andhra_pradesh,secunderabad,M,PPOI,1884,GEN,973288,1850694,52.59,0.19,631,0.06,6298,
3244,3244,3244,GE,14,12,2004,4.0,4,meghanadasabar,odisha,koraput,M,CPI(ML)(L),48366,ST,735667,1139590,64.56,6.57,0,0.0,2472,12th Pass
5701,5701,5701,GE,14,15,2004,4.0,6,meghnathhalder,west_bengal,joynagar,M,BSP,9920,SC,806334,1136859,70.93,1.23,0,0.0,16651,Post Graduate
3594,3594,3594,GE,14,17,2004,4.0,3,meghrajtawar,rajasthan,salumber,M,CPI,32233,ST,629834,1279337,49.23,5.12,6882,1.09,2444,12th Pass
1645,1645,1645,GE,14,2,2004,4.0,12,mehbooba,jammu_and_kashmir,srinagar,F,IND,956,GEN,195678,1053734,18.57,0.49,120,0.06,10809,Others
1647,1647,1647,GE,14,3,2004,4.0,1,mehboobamufti,jammu_and_kashmir,anantnag,F,JKPDP,74436,GEN,150219,998905,15.04,49.55,38938,25.92,11133,Graduate Professional
882,882,882,GE,14,35,2004,4.0,1,meirakumar,bihar,sasaram,F,INC,416673,SC,697268,1291800,53.98,59.76,258262,37.04,3482,Post Graduate
300,300,300,GE,14,38,2008,,7,mekalakedariyadav,andhra_pradesh,hanamkonda,M,IND,4667,,767239,1256358,61.07,0.61,1012,0.13,10809,
115,115,115,GE,14,17,2004,4.0,1,mekapatirajamohanreddy,andhra_pradesh,narasaraopet,M,INC,481310,GEN,899784,1255040,71.69,53.49,86255,9.59,3482,Graduate Professional
5369,5369,5369,GE,14,72,2004,4.0,13,merajali,uttar_pradesh,aligarh,M,RSBP,550,GEN,633685,1341254,47.25,0.09,147,0.02,12378,
1255,1255,1255,GE,14,2,2007,,2,mesquitawilfredm,goa,mormugao,M,BJP,77681,,201195,560898,35.87,38.61,74695,37.13,1605,
4973,4973,4973,GE,14,47,2004,4.0,11,mevalalvishwakarma,uttar_pradesh,chandauli,M,IND,3090,GEN,704435,1580853,44.56,0.44,433,0.06,10809,
941,941,941,GE,14,39,2004,4.0,6,mewalalrajwanshi,bihar,nawada,M,CPI(ML)(L),3623,SC,1010037,1505472,67.09,0.36,1404,0.14,2472,Others
2111,2111,2111,GE,14,26,2004,4.0,4,mgopinath,karnataka,chikkodi,M,BSP,29275,SC,838005,1184275,70.76,3.49,13747,1.64,16651,Post Graduate
43,43,43,GE,14,5,2004,4.0,1,midiyambaburao,andhra_pradesh,bhadrachalam,M,CPM,373148,ST,823415,1193297,69.0,45.32,53806,6.53,14635,Graduate Professional
5707,5707,5707,GE,14,16,2004,4.0,6,mihirkumarnaskar,west_bengal,mathurapur,M,IND,7767,SC,907785,1113351,81.54,0.86,0,0.0,10809,Graduate
5861,5861,5861,GE,14,34,2004,4.0,4,mihirkumarrajwar,west_bengal,purulia,M,BSP,14021,SC,696219,992438,70.15,2.01,1001,0.14,16651,Not Given
4832,4832,4832,GE,14,39,2004,4.0,13,milan,uttar_pradesh,ballia,M,IND,890,SC,619762,1430300,43.33,0.14,19,0.0,10809,
2696,2696,2696,GE,14,4,2004,4.0,1,milindmurlideora,maharashtra,mumbai_south,M,INC,137956,GEN,274358,620431,44.22,50.28,10246,3.73,3482,
1809,1809,1809,GE,14,7,2004,4.0,17,milonimadi,jharkhand,dhanbad,F,IND,2090,ST,941478,1749456,53.82,0.22,71,0.01,10809,
5603,5603,5603,GE,14,5,2004,4.0,2,minatighosh,west_bengal,raiganj,F,CPM,382757,GEN,917582,1147290,79.98,41.71,324826,35.4,14635,Post Graduate
5582,5582,5582,GE,14,3,2004,4.0,1,minatisen,west_bengal,jalpaiguri,F,CPM,424163,GEN,890105,1104784,80.57,47.65,180605,20.29,14635,Graduate Professional
1330,1330,1330,GE,14,10,2004,4.0,9,minaxichandubhaikhetaninitackhetani,gujarat,ahmedabad,F,SP,1188,GEN,548559,1382793,39.67,0.22,322,0.06,7425,
389,389,389,GE,14,4,2004,4.0,9,minharalimandal,assam,dhubri,M,IND,7562,GEN,863592,1149939,75.1,0.88,2876,0.33,10809,Post Graduate
2228,2228,2228,GE,14,13,2004,4.0,5,minikphilip,kerala,kottayam,F,IND,2897,GEN,705776,963886,73.22,0.41,413,0.06,10809,
1631,1631,1631,GE,14,1,2004,4.0,4,mirkhursheedabbasi,jammu_and_kashmir,baramulla,M,IND,10569,GEN,334770,940998,35.58,3.16,1566,0.47,10809,Post Graduate
3035,3035,3035,GE,14,34,2004,4.0,3,mirzaabdulbaigamirbaig,maharashtra,beed,M,IND,22816,GEN,884234,1319891,66.99,2.58,3676,0.42,10809,Literate
2274,2274,2274,GE,14,19,2004,4.0,2,mishanavas,kerala,chirayinkil,M,INC,262870,GEN,669639,1020604,65.61,39.26,190888,28.51,3482,Post Graduate
610,610,610,GE,14,13,2004,4.0,7,mishridas,bihar,madhubani,M,BSP,5337,SC,695146,1257633,55.27,0.77,1640,0.24,16651,Post Graduate
3616,3616,3616,GE,14,21,2004,4.0,5,mithalaljain,rajasthan,pali,M,NCP,10451,GEN,542738,1195737,45.39,1.93,4083,0.75,5792,
758,758,758,GE,14,26,2004,4.0,4,mithanyadav,bihar,banka,M,IND,8929,GEN,713888,1213614,58.82,1.25,5482,0.77,10809,12th Pass
627,627,627,GE,14,15,2004,4.0,7,mithileshkumaryadav,bihar,darbhanga,M,SP,3620,GEN,762657,1202456,63.42,0.47,515,0.07,7425,Not Given
1901,1901,1901,GE,14,13,2004,4.0,11,mithileshpaswan,jharkhand,palamau,M,LJNSP,4391,SC,641543,1289313,49.76,0.68,158,0.02,5029,
656,656,656,GE,14,18,2004,4.0,4,mithileshyadav,bihar,barh,M,CPI(ML)(L),12940,GEN,864102,1242851,69.53,1.5,4957,0.57,2472,12th Pass
5264,5264,5264,GE,14,65,2004,4.0,9,mitrapal,uttar_pradesh,mainpuri,M,BMP(AI),566,GEN,719918,1211002,59.45,0.08,21,0.0,9428,
4620,4620,4620,GE,14,24,2004,4.0,1,mitrasen,uttar_pradesh,faizabad,M,BSP,207285,GEN,686599,1326533,51.76,30.19,33486,4.88,16651,12th Pass
3423,3423,3423,GE,14,10,2004,4.0,7,mitsingh,punjab,sangrur,M,IND,3366,GEN,836818,1214485,68.9,0.4,735,0.09,10809,
2230,2230,2230,GE,14,13,2004,4.0,7,mkdasan,kerala,kottayam,M,IND,1352,SC,705776,963886,73.22,0.19,88,0.01,10809,
2037,2037,2037,GE,14,15,2004,4.0,5,mkkempasiddaiah,karnataka,chamarajanagar,M,JP,35337,SC,853214,1189973,71.7,4.14,10871,1.27,4406,Post Graduate
2279,2279,2279,GE,14,19,2004,4.0,7,mmuralikumar,kerala,chirayinkil,M,IND,1663,GEN,669639,1020604,65.61,0.25,215,0.03,10809,
1077,1077,1077,GE,14,11,2004,4.0,4,mochiramgond,chhattisgarh,rajnandgaon,M,BSP,13326,ST,665935,1121618,59.37,2.0,5911,0.89,16651,5th Pass
2018,2018,2018,GE,14,12,2004,4.0,6,mohamadibrahim,karnataka,bangalore_north,M,IND,6878,GEN,1156845,2133579,54.22,0.59,3274,0.28,10809,10th Pass
3422,3422,3422,GE,14,10,2004,4.0,6,mohamadshamshad,punjab,sangrur,M,IND,8872,GEN,836818,1214485,68.9,1.06,5506,0.66,10809,
1649,1649,1649,GE,14,3,2004,4.0,3,mohamadyusuftarigami,jammu_and_kashmir,anantnag,M,CPM,18466,GEN,150219,998905,15.04,12.29,13630,9.07,14635,12th Pass
3836,3836,3836,GE,14,10,2004,4.0,4,mohamedalijinnam,tamil_nadu,tindivanam,M,IND,10987,GEN,726923,1158938,62.72,1.51,2904,0.4,10809,
3682,3682,3682,GE,14,2,2004,4.0,5,mohamedansarep,tamil_nadu,madras_central,M,IND,1433,GEN,512820,1045260,49.06,0.28,332,0.06,10809,
5639,5639,5639,GE,14,8,2004,4.0,8,mohammadabdurrahaman,west_bengal,jangipur,M,SP,3934,GEN,883128,1082151,81.61,0.45,486,0.06,7425,Others
596,596,596,GE,14,12,2004,4.0,2,mohammadanwarulhaq,bihar,sheohar,M,BJP,229360,GEN,666398,1214428,54.87,34.42,142942,21.45,1605,Others
5501,5501,5501,GE,14,80,2004,4.0,13,mohammadarif,uttar_pradesh,saharanpur,M,IND,862,GEN,990415,1566135,63.24,0.09,103,0.01,10809,
4726,4726,4726,GE,14,32,2004,4.0,4,mohammadarshadkhan,uttar_pradesh,khalilabad,M,NLP,45351,GEN,700715,1397045,50.16,6.47,30708,4.38,5631,Graduate
976,976,976,GE,14,1,2004,4.0,15,mohammadibrahim,chandigarh,chandigarh,M,AD,213,GEN,268670,527684,50.91,0.08,25,0.01,954,10th Pass
3493,3493,3493,GE,14,3,2004,4.0,9,mohammadiliyaskhichiteli,rajasthan,churu,M,IND,2108,GEN,833976,1371821,60.79,0.25,0,0.0,10809,
589,589,589,GE,14,11,2004,4.0,8,mohammadsagir,bihar,sitamarhi,M,IND,3313,GEN,690851,1265132,54.61,0.48,284,0.04,10809,Not Given
516,516,516,GE,14,5,2004,4.0,1,mohammadshahabuddin,bihar,siwan,M,RJD,317511,GEN,637549,1054441,60.46,49.8,103578,16.25,12103,Doctorate
5926,5926,5926,GE,14,40,2004,4.0,11,mohammadzakaria,west_bengal,katwa,M,IND,3362,GEN,966263,1169525,82.62,0.35,282,0.03,10809,Graduate
3685,3685,3685,GE,14,2,2004,4.0,8,mohammedalijinnaj,tamil_nadu,madras_central,M,IND,772,GEN,512820,1045260,49.06,0.15,235,0.05,10809,
2198,2198,2198,GE,14,10,2004,4.0,8,mohammedasharaf,kerala,mukundapuram,M,IND,1951,GEN,723009,1024150,70.6,0.27,0,0.0,10809,
2774,2774,2774,GE,14,9,2004,4.0,13,mohammedpatel,maharashtra,mumbai_north,M,IND,942,GEN,1119342,2377866,47.07,0.08,0,0.0,10809,10th Pass
4202,4202,4202,GE,14,38,2004,4.0,8,mohamudyousufp,tamil_nadu,tiruchendur,M,IND,1385,GEN,631008,1031560,61.17,0.22,450,0.07,10809,
4802,4802,4802,GE,14,37,2004,4.0,10,mohan,uttar_pradesh,deoria,M,IND,3529,GEN,729788,1569719,46.49,0.48,1186,0.16,10809,
2310,2310,2310,GE,14,20,2005,,12,mohanakrishnanm,kerala,thiruvananthapuram,M,IND,382,,759237,1114280,68.14,0.05,8,0.0,10809,
2584,2584,2584,GE,14,20,2004,4.0,5,mohanbabusharma,madhya_pradesh,vidisha,M,IND,10867,GEN,656555,1313048,50.0,1.66,2587,0.39,10809,
5897,5897,5897,GE,14,37,2004,4.0,7,mohanchbouri,west_bengal,durgapur,M,BSP,6011,SC,847616,1150939,73.65,0.71,0,0.0,16651,12th Pass
5596,5596,5596,GE,14,4,2004,4.0,5,mohanchhetri,west_bengal,darjeeling,M,IND,14857,GEN,888083,1249238,71.09,1.67,3745,0.42,10809,Post Graduate
2684,2684,2684,GE,14,1,2004,4.0,3,mohangovindparab,maharashtra,rajapur,M,BSP,12616,GEN,480535,835714,57.5,2.63,1103,0.23,16651,Literate
3205,3205,3205,GE,14,4,2004,4.0,1,mohanjena,odisha,jajpur,M,BJD,452177,SC,876208,1278758,68.52,51.61,51466,5.87,9079,Post Graduate
678,678,678,GE,14,20,2004,4.0,7,mohankamat,bihar,saharsa,M,AD,7301,GEN,738280,1287666,57.33,0.99,18,0.0,954,Others
2611,2611,2611,GE,14,22,2004,4.0,4,mohanlalbhaiyyaadvocate,madhya_pradesh,shajapur,M,BSP,8905,SC,720241,1328841,54.2,1.24,421,0.06,16651,Post Graduate
1600,1600,1600,GE,14,2,2004,4.0,3,mohanlalsahni,himachal_pradesh,mandi,M,BSP,8671,SC,669552,1065083,62.86,1.3,595,0.09,16651,Post Graduate
3998,3998,3998,GE,14,24,2004,4.0,1,mohanp,tamil_nadu,madurai,M,CPM,414433,GEN,739680,1344023,55.03,56.03,132840,17.96,14635,
3778,3778,3778,GE,14,6,2004,4.0,16,mohanr,tamil_nadu,arakkonam,M,SP,1265,GEN,775439,1160259,66.83,0.16,94,0.01,7425,10th Pass
4037,4037,4037,GE,14,25,2004,4.0,25,mohanrajaliasgourmohandassvs,tamil_nadu,periyakulam,M,IND,256,SC,700534,1056853,66.28,0.04,26,0.0,10809,
3710,3710,3710,GE,14,3,2004,4.0,10,mohanrajj,tamil_nadu,madras_south,M,JJ,734,GEN,934548,1949904,47.93,0.08,99,0.01,11062,Graduate
4826,4826,4826,GE,14,39,2004,4.0,7,mohanram,uttar_pradesh,ballia,M,ASP,2230,SC,619762,1430300,43.33,0.36,154,0.02,9011,
2703,2703,2703,GE,14,5,2004,4.0,1,mohanrawale,maharashtra,mumbai_south_central,M,SHS,128536,GEN,347972,704452,49.4,36.94,22188,6.38,18691,10th Pass
1084,1084,1084,GE,14,11,2007,,4,mohanrawate,chhattisgarh,rajnandgoan,M,IND,23295,,735875,1163778,63.23,3.17,11863,1.61,10809,
826,826,826,GE,14,31,2004,4.0,11,mohansaw,bihar,nalanda,M,IND,1344,GEN,895116,1311971,68.23,0.15,293,0.03,10809,Post Graduate
4793,4793,4793,GE,14,37,2004,4.0,1,mohansingh,uttar_pradesh,deoria,M,SP,237664,GEN,729788,1569719,46.49,32.57,52226,7.16,7425,Not Given
2645,2645,2645,GE,14,25,2004,4.0,5,mohansinghdawar,madhya_pradesh,dhar,M,SP,11261,ST,703372,1325680,53.06,1.6,0,0.0,7425,
3450,3450,3450,GE,14,13,2004,4.0,3,mohansinghfalianwala,punjab,ferozepur,M,BSP,101921,GEN,866640,1302221,66.55,11.76,73980,8.54,16651,10th Pass
4679,4679,4679,GE,14,28,2004,4.0,11,mohdahsan,uttar_pradesh,balrampur,M,IND,2352,GEN,698106,1316006,53.05,0.34,500,0.07,10809,
4586,4586,4586,GE,14,22,2004,4.0,9,mohdarsadpavar,uttar_pradesh,sultanpur,M,NLP,4098,GEN,721049,1465273,49.21,0.57,173,0.02,5631,
4743,4743,4743,GE,14,32,2008,,7,mohdarshadkhan,uttar_pradesh,khalilabad,M,IND,4906,,582383,1470017,39.62,0.84,738,0.13,10809,
3724,3724,3724,GE,14,3,2004,4.0,24,mohdfarook,tamil_nadu,madras_south,M,IND,397,GEN,934548,1949904,47.93,0.04,2,0.0,10809,
5205,5205,5205,GE,14,61,2004,4.0,6,mohdhanimaliskinnerramkali,uttar_pradesh,kanpur,M,IND,1975,GEN,618721,1427231,43.35,0.32,368,0.06,10809,
1176,1176,1176,GE,14,4,2004,4.0,9,mohdhasnain,delhi,east_delhi,M,IND,2005,GEN,1190814,2606589,45.68,0.17,441,0.04,10809,Not Given
5500,5500,5500,GE,14,80,2004,4.0,12,mohdhussainjilani,uttar_pradesh,saharanpur,M,MUL,1415,GEN,990415,1566135,63.24,0.14,553,0.06,5501,
