,Unnamed: 0,Unnamed: 0.1,Election_Type,Assembly_No,Constituency_No,Year,month,Position,Candidate,State_Name,Constituency_Name,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
2976,2976,2976,GE,14,28,2004,4.0,6,anandbaliramgaikwad,maharashtra,yavatmal,M,BBM,15273,GEN,663978,1133605,58.57,2.3,2976,0.45,1875,Graduate
5267,5267,5267,GE,14,65,2004,4.0,12,anandbihari,uttar_pradesh,mainpuri,M,IND,354,GEN,719918,1211002,59.45,0.05,48,0.01,10809,
2353,2353,2353,GE,14,3,2004,4.0,10,ananddixit,madhya_pradesh,gwalior,M,IND,2125,GEN,564692,1381464,40.88,0.38,0,0.0,10809,
655,655,655,GE,14,18,2004,4.0,3,anandimahto,bihar,barh,M,BSP,16240,GEN,864102,1242851,69.53,1.88,3300,0.38,16651,10th Pass
804,804,804,GE,14,29,2004,4.0,7,anandmohan,bihar,monghyr,M,SPVD,3759,GEN,838216,1310042,63.98,0.45,441,0.05,12826,Literate
597,597,597,GE,14,12,2004,4.0,3,anandmohansingh,bihar,sheohar,M,BPSP,86418,GEN,666398,1214428,54.87,12.97,58937,8.84,9466,12th Pass
5485,5485,5485,GE,14,79,2004,4.0,28,anandpal,uttar_pradesh,kairana,M,IND,208,GEN,816726,1220829,66.9,0.03,5,0.0,10809,
4640,4640,4640,GE,14,25,2004,4.0,4,anandprakashgautam,uttar_pradesh,bara_banki,M,INC,24757,SC,540251,1214993,44.47,4.58,15498,2.87,3482,Post Graduate
2785,2785,2785,GE,14,10,2008,,1,anandprakashparanjpe,maharashtra,thane,M,SS,462766,GEN,889568,3623806,24.55,52.02,90872,10.22,18691,
2471,2471,2471,GE,14,11,2004,4.0,9,anandpratapsingh,madhya_pradesh,shahdol,M,LJNSP,5627,ST,509340,1305252,39.02,1.1,0,0.0,5029,
2865,2865,2865,GE,14,18,2004,4.0,9,anandraochindhajilahane,maharashtra,buldhana,M,RLD,3102,SC,761264,1196627,63.62,0.41,541,0.07,12169,Graduate
3135,3135,3135,GE,14,45,2004,4.0,4,anandraotukaramthorat,maharashtra,karad,M,IND,12040,GEN,714523,1181744,60.46,1.69,3652,0.51,10809,Graduate
4964,4964,4964,GE,14,47,2004,4.0,2,anandratnamaurya,uttar_pradesh,chandauli,M,SP,202956,GEN,704435,1580853,44.56,28.81,21141,3.0,7425,Graduate Professional
2743,2743,2743,GE,14,8,2004,4.0,12,anandravindersingh,maharashtra,mumbai_north_west,M,IND,796,GEN,747687,1515745,49.33,0.11,34,0.0,10809,10th Pass
3715,3715,3715,GE,14,3,2004,4.0,15,anands,tamil_nadu,madras_south,M,IND,565,SC,934548,1949904,47.93,0.06,10,0.0,10809,
1840,1840,1840,GE,14,9,2004,4.0,10,anangpradhan,jharkhand,jamshedpur,M,IND,4117,GEN,776519,1372125,56.59,0.53,488,0.06,10809,
3285,3285,3285,GE,14,21,2004,4.0,1,anantanayak,odisha,keonjhar,M,BJP,355702,ST,814662,1183472,68.84,43.66,49209,6.04,1605,12th Pass
2687,2687,2687,GE,14,2,2004,4.0,1,anantgeete,maharashtra,ratnagiri,M,SHS,334690,GEN,560976,914770,61.32,59.66,148968,26.56,18691,12th Pass
2886,2886,2886,GE,14,21,2004,4.0,1,anantgudhe,maharashtra,amravati,M,SHS,203216,GEN,676421,1204881,56.14,30.04,14234,2.1,18691,Graduate
172,172,172,GE,14,25,2004,4.0,1,ananthavenkataramireddy,andhra_pradesh,anantapur,M,INC,458925,GEN,875135,1280923,68.32,52.44,73404,8.39,3482,Post Graduate
2021,2021,2021,GE,14,13,2004,4.0,1,ananthkumar,karnataka,bangalore_south,M,BJP,386682,GEN,800649,1620352,49.41,48.3,62271,7.78,1605,
2080,2080,2080,GE,14,22,2004,4.0,1,ananthkumarhegde,karnataka,kanara,M,BJP,433174,GEN,833932,1207373,69.07,51.94,172226,20.65,1605,12th Pass
687,687,687,GE,14,21,2004,4.0,6,anantlalsada,bihar,madhepura,M,SP,8493,SC,695674,1187490,58.58,1.22,2018,0.29,7425,Post Graduate
577,577,577,GE,14,10,2004,4.0,10,anantpdtulsyan,bihar,muzaffarpur,M,ABHM,2584,GEN,784096,1237345,63.37,0.33,108,0.01,268,10th Pass
236,236,236,GE,14,33,2004,4.0,1,anarendra,andhra_pradesh,medak,M,TRS,453738,GEN,901015,1259126,71.56,50.36,123766,13.74,8284,Graduate
5437,5437,5437,GE,14,77,2004,4.0,9,anarsingh,uttar_pradesh,baghpat,M,BRPP,750,SC,656900,1570374,41.83,0.11,28,0.0,1800,
3831,3831,3831,GE,14,9,2004,4.0,14,anbalaganr,tamil_nadu,vandavasi,M,IND,993,SC,703269,1128624,62.31,0.14,141,0.02,10809,
3899,3899,3899,GE,14,15,2004,4.0,2,anbalagans,tamil_nadu,rasipuram,M,ADMK,249637,SC,695976,1132426,61.46,35.87,225115,32.35,930,
3971,3971,3971,GE,14,20,2004,4.0,11,anbarasur,tamil_nadu,coimbatore,M,IND,1031,GEN,878866,1584223,55.48,0.12,0,0.0,10809,
4899,4899,4899,GE,14,41,2008,,13,anchal,uttar_pradesh,azamgarh,M,IND,2372,,609521,1467384,41.54,0.39,309,0.05,10809,
2101,2101,2101,GE,14,25,2004,4.0,1,angadisureshchanabasappa,karnataka,belgaum,M,BJP,410843,GEN,893902,1354182,66.01,45.96,84753,9.48,1605,Graduate Professional
4634,4634,4634,GE,14,24,2004,4.0,15,angadkumar,uttar_pradesh,faizabad,M,IND,1992,GEN,686599,1326533,51.76,0.29,250,0.04,10809,
1246,1246,1246,GE,14,2,2004,4.0,2,angleramakantsoiru,goa,mormugao,M,BJP,113908,GEN,297678,515504,57.75,38.27,108027,36.29,1605,Graduate
1462,1462,1462,GE,14,3,2004,4.0,15,angrejsinghjoon,haryana,karnal,M,RGD,1977,GEN,818927,1240344,66.02,0.24,89,0.01,12084,Graduate Professional
5773,5773,5773,GE,14,22,2004,4.0,9,angshumanpaul,west_bengal,calcutta_north_east,M,IND,1309,GEN,568885,803853,70.77,0.23,391,0.07,10809,
4063,4063,4063,GE,14,27,2004,4.0,8,angusamyn,tamil_nadu,tiruchirappalli,M,IND,1101,GEN,708137,1192254,59.39,0.16,257,0.04,10809,
5823,5823,5823,GE,14,28,2004,4.0,1,anilbasu,west_bengal,arambagh,M,CPM,744464,GEN,964840,1187610,81.24,77.16,592502,61.41,14635,Literate
