,Unnamed: 0,Sno,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year
4323,4323,4324,mahabalmishra,INC,0,12th Pass,54,61994338.0,989118,1,national_capital_territory_of_delhi,west_delhi,2009
147,147,148,mahabeeb,IND,0,10th Pass,33,10000.0,0,0,andhra_pradesh,hyderabad,2009
5024,5024,5025,mahabeerprasad,IND,0,Not Given,53,476000.0,0,0,rajasthan,sikar,2009
6081,6081,6082,mahabeerprasad,INC,1,Post Graduate,66,11323938.0,700000,0,uttar_pradesh,bansgaon,2009
978,978,979,mahadeoyadav,IND,0,12th Pass,45,2649310.0,51000,0,bihar,madhepura,2009
7198,7198,7199,mahadev,JKM,0,12th Pass,47,2773000.0,0,0,uttarakhand,garhwal,2009
4028,4028,4029,mahadevannawaghamare,RSPS,0,Literate,65,281000.0,161000,0,maharashtra,sangli,2009
3766,3766,3767,mahadevlimbajigalphade,IND,0,10th Pass,38,95306.0,0,0,maharashtra,mumbai_north_west,2009
3083,3083,3084,mahadevprasadtiwari,IND,0,Others,50,702346.0,0,0,madhya_pradesh,guna,2009
5014,5014,5015,mahadevsingh,INC,0,Post Graduate,66,7879689.0,0,1,rajasthan,sikar,2009
5173,5173,5174,mahalingamjs,IND,0,Literate,49,191000.0,0,0,tamil_nadu,chennai_south,2009
4352,4352,4353,mahameghabahanairakharabelaswain,BJP,1,Post Graduate,55,2741000.0,0,0,orissa,balasore,2009
3449,3449,3450,mahammadakarammahammadsalimuddinbagwan,IND,0,8th Pass,34,1950000.0,0,0,maharashtra,beed,2009
3645,3645,3646,mahammadgousgulabnadaf,IND,0,5th Pass,57,635000.0,0,0,maharashtra,kolhapur,2009
5264,5264,5265,mahamunis,IND,0,10th Pass,26,,0,0,tamil_nadu,dindigul,2009
862,862,863,mahanandprasad,CPI(ML)(L),5,Others,41,203000.0,25000,0,bihar,jahanabad,2009
4515,4515,4516,mahansingh,CPM,0,10th Pass,61,5373955.0,0,0,punjab,anandpur_sahib,2009
1617,1617,1618,mahantshridharamdasbapu,IND,0,Literate,45,21000.0,0,0,gujarat,gandhinagar,2009
6101,6101,6102,mahantvishramdas,IND,0,Post Graduate,67,1903000.0,26000,0,uttar_pradesh,barabanki,2009
4257,4257,4258,maharajkumar,DBP,0,Post Graduate,59,2125900.0,0,0,national_capital_territory_of_delhi,new_delhi,2009
4753,4753,4754,mahaveer,Rajasthan Vikas Party,0,10th Pass,43,350000.0,0,0,rajasthan,bharatpur,2009
5050,5050,5051,mahaveerbhagora,BJP,1,Post Graduate,61,6934001.0,0,0,rajasthan,udaipur,2009
6944,6944,6945,mahavirsingh,IND,0,Post Graduate,49,21751000.0,0,0,uttar_pradesh,pilibhit,2009
1590,1590,1591,mahavirsinhbhagirathsinhgohil,INC,1,Graduate,52,10788757.0,0,0,gujarat,bhavnagar,2009
928,928,929,mahboobalam,CPI(ML)(L),9,12th Pass,52,145500.0,0,0,bihar,katihar,2009
745,745,746,mahboobalamansari,BMF,0,Graduate,50,32000.0,0,0,bihar,banka,2009
1855,1855,1856,mahendersingh,BHBP,1,8th Pass,30,1080000.0,66000,0,haryana,bhiwani-mahendragarh,2009
6550,6550,6551,mahendra,IND,0,Not Given,39,243000.0,0,0,uttar_pradesh,jhansi,2009
3318,3318,3319,mahendrabhaiyadikshit,IND,0,10th Pass,42,20350000.0,10563,0,madhya_pradesh,sidhi,2009
3484,3484,3485,mahendrakeruwadvinde,IND,0,5th Pass,54,5410000.0,0,0,maharashtra,bhiwandi,2009
2211,2211,2212,mahendrakishoremehta,IND,0,Not Given,38,,0,0,jharkhand,hazaribagh,2009
7449,7449,7450,mahendrakumarroy,CPM,0,Graduate Professional,54,2878591.0,0,1,west_bengal,jalpaiguri,2009
3689,3689,3690,mahendraprabhakartiwari,IND,0,10th Pass,41,3022197.0,127600,0,maharashtra,maval,2009
