,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Category
197,0,0,0,50,1,290000.0,0,0,6,161,0
198,8,0,11,50,1,55271210.0,17008423,0,30,33,0
199,3,0,1,31,1,215000.0,0,0,15,143,2
200,8,0,5,68,1,701833242.0,175031509,0,15,509,0
201,8,1,1,45,1,6562365.0,0,0,16,293,0
202,8,1,11,48,1,255200.0,0,0,27,312,0
203,8,0,11,27,1,47845505.0,14949074,0,4,358,0
204,9,0,5,27,1,100883304.0,59377,1,33,175,0
205,7,0,5,50,1,0.0,0,0,30,503,0
206,6,0,5,61,1,17918014.0,51740512,0,30,133,0
207,7,0,1,46,1,470000.0,0,0,30,491,2
208,8,1,6,48,1,3085000.0,254000,0,30,495,0
209,7,0,1,25,1,900.0,0,0,16,9,2
210,6,0,1,45,1,31453008.0,905729,0,9,478,0
211,0,0,0,61,0,22800000.0,4200000,0,16,399,0
212,8,0,1,50,1,4448946.0,2674831,0,16,519,0
213,7,0,2,40,1,1047500.0,0,0,24,383,0
214,7,0,5,36,1,114136.0,0,0,3,152,0
215,4,1,5,59,1,7450333.0,0,0,25,84,0
216,8,0,0,59,1,5210680.0,0,0,4,286,0
217,7,0,10,53,1,352000.0,0,0,4,60,0
218,8,2,6,46,1,12871.0,0,0,18,281,0
219,8,0,6,47,1,42489478.0,77453,0,35,292,0
220,8,4,6,45,1,51615071.0,3661335,0,4,514,0
221,7,0,11,27,1,8647900.0,0,0,33,324,2
222,2,0,6,50,1,14594066.0,300000,1,18,98,0
223,7,0,1,43,1,8363380.0,0,0,35,154,0
224,3,0,3,42,1,20454704.0,0,0,18,198,0
225,7,0,2,45,1,261500.0,0,0,30,131,0
226,8,0,3,52,1,5727145.0,227144,0,19,453,0
227,8,0,1,40,1,4790000.0,0,0,24,116,0
228,7,0,5,31,1,1690000.0,0,0,19,388,0
229,7,0,5,67,1,36920000.0,150000,0,15,143,0
230,7,0,11,37,1,480000.0,0,0,30,497,0
231,7,0,5,31,1,6894841.0,66500,0,30,121,0
232,7,0,1,31,1,577000.0,0,0,30,33,0
233,3,0,1,33,1,5728000.0,0,0,4,485,0
234,8,0,11,44,1,2391132.0,126000,0,14,433,0
235,4,0,11,58,1,4681929.0,774000,0,28,466,0
236,8,0,0,34,1,2076000.0,23000,0,28,90,2
237,7,0,1,36,1,60000.0,0,0,27,21,0
238,7,0,3,55,0,7020000.0,500000,0,5,115,0
239,8,0,11,58,1,1866611.0,0,0,27,21,2
240,8,2,6,48,1,3656000.0,393000,0,6,296,0
241,6,0,11,57,1,56069048.0,0,0,25,446,0
242,6,1,5,59,1,43329826.0,6731845,0,4,413,0
243,8,8,8,49,1,6357303.0,89897,0,4,474,0
244,8,0,5,48,1,909412.0,125000,0,34,13,2
245,8,0,8,38,1,2566000.0,0,0,4,522,0
246,8,0,6,58,1,966849798.0,0,0,33,174,0
247,8,0,0,64,1,1230000.0,586706,0,28,179,2
248,8,0,0,56,1,1701500.0,250000,0,33,6,2
249,7,0,1,38,1,247000.0,0,0,33,1,0
250,3,0,1,46,1,311829.0,27310,0,18,526,0
251,8,0,6,56,1,7180000.0,620000,0,33,54,0
252,7,0,11,46,1,857093.0,0,0,20,389,3
253,8,0,0,61,1,245690.0,0,0,16,272,0
254,8,3,6,59,1,35716840.0,1400000,0,19,7,0
255,6,0,5,67,1,16229000.0,280000,0,33,78,0
256,6,0,11,71,0,1180035973.0,27847000,0,27,25,0
257,8,0,5,36,1,2850774.0,0,0,33,304,0
258,6,0,4,51,0,346033232.0,384041,0,33,483,0
259,5,3,1,52,1,5930000.0,60000,0,26,407,0
260,7,0,2,55,1,277443.0,0,0,12,200,2
261,7,0,3,62,1,1460000.0,370000,0,30,429,0
262,7,0,5,34,1,30000.0,50000,0,33,450,0
263,8,0,6,54,1,17931854.0,1095618,0,14,433,0
264,7,0,1,42,1,1249500.0,250000,0,27,196,0
265,8,0,11,33,1,2136231.0,0,0,18,279,0
266,7,0,5,33,1,377801.0,10000,0,27,226,2
267,8,1,1,25,1,1478998.0,195000,0,4,445,2
268,8,0,11,28,1,446061.0,0,0,33,347,2
269,7,0,5,38,1,1710000.0,0,0,24,383,0
270,7,0,1,33,1,1169044.0,9000,0,14,433,0
271,0,0,0,27,1,160000.0,0,0,33,346,2
272,2,0,0,58,1,10680000.0,5130000,0,25,225,2
273,7,0,5,27,1,3253500.0,1475000,0,30,503,0
274,8,2,11,41,1,796700.0,12500,0,4,514,0
275,8,1,7,47,1,607780.0,0,0,27,400,0
276,6,21,3,62,1,504197656.0,142934079,0,19,153,0
277,7,0,3,36,1,2711000.0,0,0,6,420,3
278,8,0,5,33,0,22000.0,0,0,16,519,0
279,8,0,11,0,1,745000.0,110000,0,1,208,0
280,7,0,10,29,1,130000.0,0,0,15,113,2
281,8,0,11,31,1,169838.0,123121,0,25,446,0
282,7,0,1,36,1,275000.0,0,0,30,124,2
283,7,1,5,52,1,7813000.0,0,0,1,379,0
284,7,0,0,60,1,157386.0,0,0,19,351,0
285,9,3,11,36,1,23997933.0,100000,0,33,150,0
286,7,0,11,38,1,64850.0,17652,0,30,133,2
287,7,0,10,38,1,40000.0,0,0,30,497,0
288,8,0,1,34,1,1506647.0,506875,0,4,396,0
289,8,0,4,64,1,29255377.0,72369,0,24,383,2
290,8,0,1,54,1,1205500.0,0,0,33,150,0
291,7,0,6,52,1,6172660.0,0,0,4,88,0
292,7,0,9,46,1,1039000.0,0,0,30,148,0
293,7,0,11,32,1,2296015.0,0,0,10,91,3
294,8,0,6,42,1,1565623.0,0,0,34,202,0
295,8,1,5,72,1,6155932.0,0,0,14,146,0
296,8,1,11,39,1,1083000.0,0,0,33,264,0
