,Unnamed: 0,Election_Type,State_Name,Constituency_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
5594,5594,GE,sikkim,sikkim,17,1,2019,4,8,dhirajkumarrai,M,SKPP,1503,,351746,434128,81.02,0.43,889,0.25,17266,Post Graduate
5595,5595,GE,sikkim,sikkim,17,1,2019,4,9,narendraadhikari,M,SUTF,614,GEN,351746,434128,81.02,0.17,17,0.0,17267,Graduate
5596,5596,GE,sikkim,sikkim,17,1,2019,4,10,mahendrathapa,M,IND,597,,351746,434128,81.02,0.17,201,0.06,10809,Post Graduate
5597,5597,GE,sikkim,sikkim,17,1,2019,4,11,rabinrai,M,AIP,396,,351746,434128,81.02,0.11,13,0.0,17268,Post Graduate
5598,5598,GE,sikkim,sikkim,17,1,2019,4,12,sunmayagurung,F,JMBP,383,,351746,434128,81.02,0.11,0,0.0,4036,8th Pass
5599,5599,GE,tamil_nadu,thiruvallur,17,1,2019,4,1,drkjayakumar,M,INC,767292,SC,1408189,1946870,72.33,54.49,356955,25.35,3482,Doctorate
5600,5600,GE,tamil_nadu,thiruvallur,17,1,2019,4,2,drpvenugopal,M,ADMK,410337,SC,1408189,1946870,72.33,29.14,336606,23.9,930,Graduate Professional
5601,5601,GE,tamil_nadu,thiruvallur,17,1,2019,4,3,logaranganm,M,MNM,73731,SC,1408189,1946870,72.33,5.24,8315,0.59,24404,Post Graduate
5602,5602,GE,tamil_nadu,thiruvallur,17,1,2019,4,4,mvetriselvi,F,NTK,65416,SC,1408189,1946870,72.33,4.65,31472,2.23,5533,Graduate Professional
5603,5603,GE,tamil_nadu,thiruvallur,17,1,2019,4,5,ponraja,M,IND,33944,SC,1408189,1946870,72.33,2.41,15669,1.11,10809,Graduate Professional
5604,5604,GE,tamil_nadu,thiruvallur,17,1,2019,4,6,nota,,NOTA,18275,,1408189,1946870,72.33,1.3,3088,0.22,5897,
