Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,State,Constituency
2145,Bitiya Manjhi,CPI(ML)L,0,10th Pass,40,"Rs 12,14,500 ~ 12 Lacs+",Rs 0 ~ ,0,JHARKHAND,DUMKA
2146,Chhaya Kole,CPI,0,8th Pass,31,"Rs 30,61,595 ~ 30 Lacs+","Rs 7,00,000 ~ 7 Lacs+",0,JHARKHAND,DUMKA
2147,Joshil Murmu,IND,0,Graduate,32,"Rs 30,672 ~ 30 Thou+",Rs 0 ~ ,0,JHARKHAND,DUMKA
2148,Pulis Hembrom,IND,0,Literate,35,"Rs 12,27,400 ~ 12 Lacs+",Rs 0 ~ ,0,JHARKHAND,DUMKA
2149,Sahadeo Soren,AAP,0,Post Graduate,64,"Rs 1,09,77,580 ~ 1 Crore+",Rs 0 ~ ,0,JHARKHAND,DUMKA
2150,Shrilal Kisku,IND,0,Graduate Professional,55,"Rs 30,50,000 ~ 30 Lacs+","Rs 82,000 ~ 82 Thou+",0,JHARKHAND,DUMKA
2151,Sokol Hansda,BSP,0,10th Pass,31,"Rs 18,34,000 ~ 18 Lacs+",Rs 0 ~ ,0,JHARKHAND,DUMKA
2152,Stephen Besra,Jharkhand Disom Party,0,10th Pass,36,"Rs 14,57,179 ~ 14 Lacs+","Rs 2,50,000 ~ 2 Lacs+",0,JHARKHAND,DUMKA
2153,Sunil Soren,BJP, 1 ,12th Pass,35,"Rs 29,44,200 ~ 29 Lacs+",Rs 0 ~ ,0,JHARKHAND,DUMKA
2154,Uma Nath Kole,IND,0,10th Pass,56,"Rs 3,50,527 ~ 3 Lacs+",Rs 0 ~ ,0,JHARKHAND,DUMKA
2155,Ravindra Kumar Pandey   Winner ,BJP,0,Graduate,55,"Rs 7,33,76,970 ~ 7 Crore+","Rs 19,70,628 ~ 19 Lacs+",1,JHARKHAND,GIRIDIH
2156,Aasutosh Verma,AITC,0,Graduate Professional,52,"Rs 38,48,28,136 ~ 38 Crore+","Rs 4,65,46,450 ~ 4 Crore+",0,JHARKHAND,GIRIDIH
2157,Bideshi Mahto,Jharkhand Disom Party,0,Graduate,58,"Rs 69,28,610 ~ 69 Lacs+",Rs 0 ~ ,0,JHARKHAND,GIRIDIH
2158,Dileep Kumar Rajak,IND,0,Graduate,35,"Rs 4,39,561 ~ 4 Lacs+","Rs 46,500 ~ 46 Thou+",0,JHARKHAND,GIRIDIH
2159,Gurjeet Singh,AAP,0,Post Graduate,50,"Rs 31,82,920 ~ 31 Lacs+","Rs 2,37,000 ~ 2 Lacs+",0,JHARKHAND,GIRIDIH
2160,Jagarnath Mahto,JMM, 4 ,10th Pass,47,"Rs 59,92,366 ~ 59 Lacs+","Rs 4,54,475 ~ 4 Lacs+",0,JHARKHAND,GIRIDIH
2161,Jaleshwar Mahato,JD(U), 1 ,Graduate,65,"Rs 2,43,14,128 ~ 2 Crore+","Rs 11,84,627 ~ 11 Lacs+",0,JHARKHAND,GIRIDIH
2162,Jitendra Kumar,SP,0,Graduate,32,"Rs 80,29,500 ~ 80 Lacs+","Rs 40,00,000 ~ 40 Lacs+",0,JHARKHAND,GIRIDIH
2163,Kartik Mahto,BSP, 3 ,10th Pass,57,"Rs 1,21,76,000 ~ 1 Crore+","Rs 20,00,000 ~ 20 Lacs+",0,JHARKHAND,GIRIDIH
2164,Mirnal Kanti Dev,Socialist Party (Lohia),0,12th Pass,67,"Rs 3,31,000 ~ 3 Lacs+",Rs 0 ~ ,0,JHARKHAND,GIRIDIH
2165,Saba Ahmad,JVM(P), 1 ,Graduate Professional,76,"Rs 58,20,782 ~ 58 Lacs+",Rs 0 ~ ,0,JHARKHAND,GIRIDIH
2166,Sajjadur Rab Hasami,IND,0,12th Pass,42,"Rs 5,50,000 ~ 5 Lacs+",Rs 0 ~ ,0,JHARKHAND,GIRIDIH
2167,Sanjeev Kumar Mahato,IND,0,12th Pass,33,"Rs 8,13,000 ~ 8 Lacs+",Rs 0 ~ ,0,JHARKHAND,GIRIDIH
2168,Sanjiv Kumar Sinha,AIFB,0,Graduate,35,"Rs 6,46,296 ~ 6 Lacs+","Rs 1,20,000 ~ 1 Lacs+",0,JHARKHAND,GIRIDIH
2169,Shiva Mahto,IND,0,8th Pass,80,"Rs 20,50,000 ~ 20 Lacs+",Rs 0 ~ ,0,JHARKHAND,GIRIDIH
2170,Sohrab Shah,Bahujan Mukti Party,0,Literate,51,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,JHARKHAND,GIRIDIH
2171,Umesh Chandra Mehta,AJSU Party, 1 ,Doctorate,58,"Rs 93,68,674 ~ 93 Lacs+","Rs 7,64,290 ~ 7 Lacs+",0,JHARKHAND,GIRIDIH
2172,Nishikant Dubey   Winner ,BJP, 5 ,Post Graduate,42,"Rs 15,56,33,719 ~ 15 Crore+",Rs 0 ~ ,1,JHARKHAND,GODDA
2173,Damodar Singh,AITC,0,12th Pass,46,"Rs 38,02,143 ~ 38 Lacs+","Rs 1,00,000 ~ 1 Lacs+",0,JHARKHAND,GODDA
2174,Furkan Ansari,INC, 1 ,Graduate,63,"Rs 2,13,32,923 ~ 2 Crore+","Rs 10,40,000 ~ 10 Lacs+",0,JHARKHAND,GODDA
2175,Gita Mandal,CPI(ML)L, 3 ,Graduate,44,"Rs 18,87,379 ~ 18 Lacs+",Rs 0 ~ ,0,JHARKHAND,GODDA
2176,Jai Shankar Jha,AAP,0,Post Graduate,50,"Rs 28,90,000 ~ 28 Lacs+","Rs 1,87,000 ~ 1 Lacs+",0,JHARKHAND,GODDA
2177,Mahendra Murmu,Jharkhand Vikas Dal,0,Post Graduate,57,"Rs 16,58,000 ~ 16 Lacs+",Rs 0 ~ ,0,JHARKHAND,GODDA
2178,Manoj Kumar Ray,IND,0,10th Pass,34,"Rs 50,500 ~ 50 Thou+",Rs 0 ~ ,0,JHARKHAND,GODDA
2179,Manraj,BSP,0,Post Graduate,60,"Rs 2,20,84,558 ~ 2 Crore+",Rs 0 ~ ,0,JHARKHAND,GODDA
2180,Md. Jenul,Bahujan Mukti Party, 1 ,Graduate Professional,52,"Rs 32,80,000 ~ 32 Lacs+",Rs 0 ~ ,0,JHARKHAND,GODDA
2181,Md. Noor Hassan,Samata Party, 3 ,Graduate,41,"Rs 2,03,000 ~ 2 Lacs+",Rs 0 ~ ,0,JHARKHAND,GODDA
2182,Navin Chandra Jha,IND,0,Post Graduate,50,"Rs 9,58,900 ~ 9 Lacs+",Rs 0 ~ ,0,JHARKHAND,GODDA
2183,Niranjan Prasad Yadav,IND,0,Post Graduate,38,"Rs 10,15,032 ~ 10 Lacs+","Rs 1,05,000 ~ 1 Lacs+",0,JHARKHAND,GODDA
2184,Pradip Yadav,JVM(P), 7 ,Graduate,48,"Rs 1,01,28,031 ~ 1 Crore+","Rs 38,800 ~ 38 Thou+",0,JHARKHAND,GODDA
2185,Rajvardhan Azad,JD(U),0,Post Graduate,64,"Rs 2,60,48,342 ~ 2 Crore+",Rs 0 ~ ,0,JHARKHAND,GODDA
2186,Subodh Prasad,AJSU Party,0,Post Graduate,59,"Rs 94,35,161 ~ 94 Lacs+","Rs 1,83,000 ~ 1 Lacs+",0,JHARKHAND,GODDA
2187,Sunil Kumar Gupta,IND,0,10th Pass,46,"Rs 12,85,001 ~ 12 Lacs+",Rs 0 ~ ,0,JHARKHAND,GODDA
2188,Jayant Sinha   Winner ,BJP,0,Post Graduate,50,"Rs 55,68,14,579 ~ 55 Crore+","Rs 8,63,80,600 ~ 8 Crore+",1,JHARKHAND,HAZARIBAGH
2189,Abdul Rahim,Bahujan Mukti Party,0,Graduate,47,"Rs 18,00,000 ~ 18 Lacs+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2190,Ajit Kumar Singh,AITC,0,12th Pass,43,"Rs 60,00,000 ~ 60 Lacs+","Rs 9,12,823 ~ 9 Lacs+",0,JHARKHAND,HAZARIBAGH
2191,Arun Kumar Mishra,JVM(P),0,Graduate,49,"Rs 5,58,08,583 ~ 5 Crore+","Rs 2,38,03,410 ~ 2 Crore+",0,JHARKHAND,HAZARIBAGH
2192,Badri Gope,IND,0,5th Pass,45,"Rs 17,56,000 ~ 17 Lacs+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2193,Baldeo Ganjhu,IND, 2 ,10th Pass,37,"Rs 4,50,746 ~ 4 Lacs+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2194,Bhuneshwar Prasad Mehta,CPI, 1 ,12th Pass,68,"Rs 1,04,83,915 ~ 1 Crore+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2195,Dr. Dhirendra Kumar Raj,IND,0,Graduate Professional,28,"Rs 4,35,18,730 ~ 4 Crore+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2196,Javed Islam,CPI(ML)L,0,Graduate,54,"Rs 21,17,600 ~ 21 Lacs+","Rs 50,000 ~ 50 Thou+",0,JHARKHAND,HAZARIBAGH
2197,Loknath Mahto,AJSU Party, 1 ,12th Pass,69,"Rs 2,31,39,387 ~ 2 Crore+","Rs 2,36,074 ~ 2 Lacs+",0,JHARKHAND,HAZARIBAGH
2198,Mahendra Kishor Mehta,IND,0,10th Pass,42,"Rs 10,35,500 ~ 10 Lacs+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2199,Mithalesh Kumar Mahto,AAP, 1 ,Doctorate,40,"Rs 82,51,000 ~ 82 Lacs+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2200,Mo. Shanul Haque,IUML,0,12th Pass,39,"Rs 1,94,500 ~ 1 Lacs+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2201,Prayag Prasad,IND,0,Literate,49,"Rs 40,63,000 ~ 40 Lacs+","Rs 1,50,000 ~ 1 Lacs+",0,JHARKHAND,HAZARIBAGH
2202,Promod Kumar Mahatha,Pragatisheel Magahi Samaj,0,12th Pass,35,"Rs 30,30,000 ~ 30 Lacs+","Rs 6,53,525 ~ 6 Lacs+",0,JHARKHAND,HAZARIBAGH
2203,Ramavtar Mahto,IND,0,12th Pass,29,"Rs 18,63,000 ~ 18 Lacs+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2204,Rameshwar Ram Kushwaha,AIFB, 1 ,Graduate,44,"Rs 9,46,596 ~ 9 Lacs+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2205,Saurabh Narain Singh,INC, 2 ,Post Graduate,39,"Rs 41,55,06,982 ~ 41 Crore+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2206,Tetri Urf Sheela Devi,BSP,0,10th Pass,56,"Rs 54,12,000 ~ 54 Lacs+","Rs 3,000 ~ 3 Thou+",0,JHARKHAND,HAZARIBAGH
2207,Yashpal Yadav,IND,0,5th Pass,25,"Rs 77,31,500 ~ 77 Lacs+",Rs 0 ~ ,0,JHARKHAND,HAZARIBAGH
2208,Bidyut Baran Mahato   Winner ,BJP, 8 ,12th Pass,51,"Rs 1,60,27,526 ~ 1 Crore+","Rs 7,15,347 ~ 7 Lacs+",1,JHARKHAND,JAMSHEDPUR
2209,Ajay Kumar,JVM(P), 7 ,Post Graduate,51,"Rs 12,43,49,901 ~ 12 Crore+","Rs 69,79,341 ~ 69 Lacs+",0,JHARKHAND,JAMSHEDPUR
2210,Angad Mahato,Amra Bangalee, 1 ,10th Pass,46,"Rs 40,05,014 ~ 40 Lacs+",Rs 0 ~ ,0,JHARKHAND,JAMSHEDPUR
2211,D.g.raja,SP,0,Graduate,42,"Rs 18,99,744 ~ 18 Lacs+","Rs 2,65,504 ~ 2 Lacs+",0,JHARKHAND,JAMSHEDPUR
2212,Daman Chandra Bhakat,BSP,0,10th Pass,47,"Rs 3,86,95,000 ~ 3 Crore+","Rs 40,000 ~ 40 Thou+",0,JHARKHAND,JAMSHEDPUR
2213,Dinesh Mahato,IND,0,12th Pass,41,"Rs 51,69,920 ~ 51 Lacs+",Rs 0 ~ ,0,JHARKHAND,JAMSHEDPUR
2214,Dr.om Prakash Ananad,IND,0,Post Graduate,39,"Rs 22,92,704 ~ 22 Lacs+","Rs 5,59,358 ~ 5 Lacs+",0,JHARKHAND,JAMSHEDPUR
2215,Hari Uraon,IND,0,12th Pass,41,"Rs 8,19,405 ~ 8 Lacs+","Rs 1,22,000 ~ 1 Lacs+",0,JHARKHAND,JAMSHEDPUR
2216,Josai Mardi,Rashtriya Deshaj Party,0,Graduate Professional,36,"Rs 12,46,500 ~ 12 Lacs+",Rs 0 ~ ,0,JHARKHAND,JAMSHEDPUR
2217,Kumar Chandra Mardi,AAP, 2 ,8th Pass,65,"Rs 38,20,000 ~ 38 Lacs+",Rs 0 ~ ,0,JHARKHAND,JAMSHEDPUR
2218,Mobin Khan,IND,0,12th Pass,50,"Rs 28,65,000 ~ 28 Lacs+","Rs 1,17,000 ~ 1 Lacs+",0,JHARKHAND,JAMSHEDPUR
2219,Niroop Mahanty,JMM,0,Post Graduate,64,"Rs 19,10,88,713 ~ 19 Crore+",Rs 0 ~ ,0,JHARKHAND,JAMSHEDPUR
2220,Sekh Akhiruddin,Jharkhand Party (Naren),0,8th Pass,49,"Rs 15,35,000 ~ 15 Lacs+",Rs 0 ~ ,0,JHARKHAND,JAMSHEDPUR
2221,Sita Ram Tudu,SUCI(C),0,12th Pass,65,"Rs 3,73,970 ~ 3 Lacs+",Rs 0 ~ ,0,JHARKHAND,JAMSHEDPUR
2222,Upendra Karmakar,IND,0,5th Pass,51,"Rs 3,30,000 ~ 3 Lacs+",Rs 0 ~ ,0,JHARKHAND,JAMSHEDPUR
2223,Karia Munda   Winner ,BJP,0,Post Graduate,77,"Rs 74,74,796 ~ 74 Lacs+",Rs 0 ~ ,1,JHARKHAND,KHUNTI
2224,Anosh Ekka,Jharkhand Party, 3 ,10th Pass,44,"Rs 3,67,66,971 ~ 3 Crore+","Rs 42,24,902 ~ 42 Lacs+",0,JHARKHAND,KHUNTI
2225,Asrita Tuti,IND,0,Post Graduate,52,"Rs 33,98,931 ~ 33 Lacs+","Rs 5,60,769 ~ 5 Lacs+",0,JHARKHAND,KHUNTI
2226,Basant Kumar Longa,JVM(P),0,Graduate,44,"Rs 54,42,300 ~ 54 Lacs+",Rs 0 ~ ,0,JHARKHAND,KHUNTI
2227,Buday Munda,Akhil Bhartiya Jharkhand Party,0,12th Pass,66,"Rs 16,69,500 ~ 16 Lacs+","Rs 50,000 ~ 50 Thou+",0,JHARKHAND,KHUNTI
2228,Dayamani Barla,AAP, 5 ,Post Graduate,44,"Rs 1,75,500 ~ 1 Lacs+",Rs 0 ~ ,0,JHARKHAND,KHUNTI
2229,Jaitun Tuti,IND,0,10th Pass,29,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~ ,0,JHARKHAND,KHUNTI
2230,Jitendra Manki Alias Jitendra Prasad Manki,IND,0,Graduate,34,"Rs 61,20,000 ~ 61 Lacs+","Rs 65,000 ~ 65 Thou+",0,JHARKHAND,KHUNTI
2231,Kalicharan Munda,INC,0,12th Pass,52,"Rs 40,69,525 ~ 40 Lacs+","Rs 31,895 ~ 31 Thou+",0,JHARKHAND,KHUNTI
2232,Mahadev Ravinath Pahan,Rashtriya Deshaj Party,0,12th Pass,29,"Rs 21,37,028 ~ 21 Lacs+",Rs 0 ~ ,0,JHARKHAND,KHUNTI
2233,Neil Tirkey,AJSU Party, 1 ,Graduate,60,"Rs 2,37,71,799 ~ 2 Crore+","Rs 84,00,000 ~ 84 Lacs+",0,JHARKHAND,KHUNTI
2234,Nitima Bodra Bari,SP,0,Graduate,47,"Rs 62,37,543 ~ 62 Lacs+",Rs 0 ~ ,0,JHARKHAND,KHUNTI
2235,Subodh Purty,BSP,0,8th Pass,44,"Rs 10,60,018 ~ 10 Lacs+","Rs 1,25,000 ~ 1 Lacs+",0,JHARKHAND,KHUNTI
2236,Ravindra Kumar Ray   Winner ,BJP,0,Doctorate,50,"Rs 1,05,64,046 ~ 1 Crore+","Rs 2,00,000 ~ 2 Lacs+",1,JHARKHAND,KODARMA
2237,Dr. Suraj Mandal,Jharkhand Vikas Dal, 2 ,Doctorate,65,"Rs 78,71,582 ~ 78 Lacs+","Rs 7,00,000 ~ 7 Lacs+",0,JHARKHAND,KODARMA
2238,Jaideo Choudhary,SP, 2 ,10th Pass,52,"Rs 46,20,269 ~ 46 Lacs+","Rs 28,831 ~ 28 Thou+",0,JHARKHAND,KODARMA
2239,Kanchan Kumari,IND,0,12th Pass,27,"Rs 59,80,857 ~ 59 Lacs+","Rs 85,000 ~ 85 Thou+",0,JHARKHAND,KODARMA
2240,Krishna Singh,JD(U), 1 ,Literate,50,"Rs 5,18,000 ~ 5 Lacs+",Rs 0 ~ ,0,JHARKHAND,KODARMA
2241,Mahendra Ravidas,Bahujan Mukti Party,0,Graduate,44,"Rs 8,89,868 ~ 8 Lacs+","Rs 1,33,210 ~ 1 Lacs+",0,JHARKHAND,KODARMA
2242,Manju Kumari,AITC,0,Post Graduate,36,"Rs 25,98,000 ~ 25 Lacs+",Rs 0 ~ ,0,JHARKHAND,KODARMA
2243,Manoj Kumar,IND,0,Post Graduate,38,"Rs 84,10,000 ~ 84 Lacs+","Rs 10,000 ~ 10 Thou+",0,JHARKHAND,KODARMA
2244,Md Jalil Ansari,National Loktantrik Party,0,Illiterate,40,"Rs 5,41,600 ~ 5 Lacs+",Rs 0 ~ ,0,JHARKHAND,KODARMA
2245,Najrul Hassan Hashmi,AJSU Party,0,Literate,42,"Rs 18,00,614 ~ 18 Lacs+",Rs 0 ~ ,0,JHARKHAND,KODARMA
2246,Phaljit Mahto,IND,0,Illiterate,40,"Rs 9,95,000 ~ 9 Lacs+","Rs 15,000 ~ 15 Thou+",0,JHARKHAND,KODARMA
2247,Pranav Kumar Verma,JVM(P),0,Post Graduate,34,"Rs 13,86,131 ~ 13 Lacs+",Rs 0 ~ ,0,JHARKHAND,KODARMA
2248,Raghunandan Prasad Vishwakarma,AIFB,0,10th Pass,63,"Rs 48,22,232 ~ 48 Lacs+","Rs 4,87,351 ~ 4 Lacs+",0,JHARKHAND,KODARMA
2249,Rameshwar Prasad Yadav,IND,0,Post Graduate,37,"Rs 14,88,300 ~ 14 Lacs+","Rs 45,000 ~ 45 Thou+",0,JHARKHAND,KODARMA
2250,Shivnath Sav,IND,0,8th Pass,28,"Rs 9,11,000 ~ 9 Lacs+","Rs 1,21,000 ~ 1 Lacs+",0,JHARKHAND,KODARMA
2251,Tilakdhari Prasad Singh,INC,0,Graduate,69,"Rs 46,66,034 ~ 46 Lacs+",Rs 0 ~ ,0,JHARKHAND,KODARMA
2252,Vijay Kumar Chourasiya,AAP, 1 ,Graduate,42,"Rs 37,04,548 ~ 37 Lacs+","Rs 6,20,968 ~ 6 Lacs+",0,JHARKHAND,KODARMA
2253,Visheshwar Prasad,BSP,0,8th Pass,45,"Rs 48,50,000 ~ 48 Lacs+","Rs 18,00,000 ~ 18 Lacs+",0,JHARKHAND,KODARMA
2254,Yogender Ram,Akhil Bharatiya Jan Sangh,0,10th Pass,39,"Rs 47,65,000 ~ 47 Lacs+","Rs 5,00,000 ~ 5 Lacs+",0,JHARKHAND,KODARMA
2255,Sudarshan Bhagat   Winner ,BJP,0,Graduate,45,"Rs 90,31,009 ~ 90 Lacs+","Rs 1,78,967 ~ 1 Lacs+",1,JHARKHAND,LOHARDAGA
2256,Birendra Bhagat,JVM(P),0,10th Pass,43,"Rs 29,11,000 ~ 29 Lacs+",Rs 0 ~ ,0,JHARKHAND,LOHARDAGA
2257,Chamra Linda,AITC, 2 ,Graduate,44,"Rs 70,10,805 ~ 70 Lacs+","Rs 15,50,000 ~ 15 Lacs+",0,JHARKHAND,LOHARDAGA
2258,Jayram Indwar,BSP,0,12th Pass,36,"Rs 19,65,000 ~ 19 Lacs+",Rs 0 ~ ,0,JHARKHAND,LOHARDAGA
2259,Lal Say Kumar Bhagat,CPI(ML)L,0,12th Pass,44,"Rs 13,19,000 ~ 13 Lacs+",Rs 0 ~ ,0,JHARKHAND,LOHARDAGA
2260,Mahendra Oraon,IND,0,12th Pass,35,"Rs 21,80,000 ~ 21 Lacs+","Rs 20,000 ~ 20 Thou+",0,JHARKHAND,LOHARDAGA
2261,Nawal Kishor Singh,IND,0,10th Pass,47,"Rs 17,33,000 ~ 17 Lacs+",Rs 0 ~ ,0,JHARKHAND,LOHARDAGA
2262,Rameshwar Oraon,INC,0,Doctorate,67,"Rs 26,26,97,987 ~ 26 Crore+",Rs 0 ~ ,0,JHARKHAND,LOHARDAGA
2263,Ranjit Oraon,IND,0,12th Pass,38,"Rs 20,24,021 ~ 20 Lacs+",Rs 0 ~ ,0,JHARKHAND,LOHARDAGA
2264,Vishnu Dayal Ram   Winner ,BJP,0,Graduate,62,"Rs 2,47,53,886 ~ 2 Crore+",Rs 0 ~ ,1,JHARKHAND,PALAMAU
2265,Ashok Ram,IND,0,10th Pass,34,"Rs 30,99,116 ~ 30 Lacs+",Rs 0 ~ ,0,JHARKHAND,PALAMAU
2266,Ghuran Ram,JVM(P), 3 ,Graduate,46,"Rs 1,45,86,699 ~ 1 Crore+","Rs 10,46,647 ~ 10 Lacs+",0,JHARKHAND,PALAMAU
2267,Jorawar Ram,JD(U), 2 ,12th Pass,64,"Rs 1,65,25,000 ~ 1 Crore+","Rs 2,05,000 ~ 2 Lacs+",0,JHARKHAND,PALAMAU
2268,Kameshwar Baitha,AITC, 48 ,10th Pass,59,"Rs 18,08,000 ~ 18 Lacs+",Rs 0 ~ ,0,JHARKHAND,PALAMAU
2269,Laldev Ram,Bahujan Mukti Party,0,12th Pass,40,"Rs 72,93,888 ~ 72 Lacs+",Rs 0 ~ ,0,JHARKHAND,PALAMAU
2270,Manoj Kumar,RJD, 1 ,Graduate,41,"Rs 83,57,000 ~ 83 Lacs+","Rs 23,50,000 ~ 23 Lacs+",0,JHARKHAND,PALAMAU
2271,Rambadan Ram,SP,0,Post Graduate,57,"Rs 24,50,000 ~ 24 Lacs+","Rs 8,00,000 ~ 8 Lacs+",0,JHARKHAND,PALAMAU
2272,Rampati Ranjan,BSP,0,Graduate,58,"Rs 44,45,000 ~ 44 Lacs+",Rs 0 ~ ,0,JHARKHAND,PALAMAU
2273,Ravindra Kumar Ravi,IND,0,12th Pass,30,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~ ,0,JHARKHAND,PALAMAU
2274,Shyam Lal Ram,IND,0,Graduate,27,"Rs 31,205 ~ 31 Thou+",Rs 0 ~ ,0,JHARKHAND,PALAMAU
2275,Sushma Mehta,CPI(ML)(L), 6 ,12th Pass,41,"Rs 23,05,547 ~ 23 Lacs+","Rs 6,51,713 ~ 6 Lacs+",0,JHARKHAND,PALAMAU
2276,Vinod Ram,IND,0,12th Pass,33,"Rs 15,26,001 ~ 15 Lacs+",Rs 0 ~ ,0,JHARKHAND,PALAMAU
2277,Vijay Kumar Hansdak   Winner ,JMM, 1 ,5th Pass,31,"Rs 68,63,306 ~ 68 Lacs+",Rs 0 ~ ,1,JHARKHAND,RAJMAHAL
2278,Arjun Prasad Singh,AJSU Party,0,Post Graduate,65,"Rs 3,51,93,984 ~ 3 Crore+",Rs 0 ~ ,0,JHARKHAND,RAJMAHAL
2279,Arun Marandi,BSP,0,Graduate,28,"Rs 3,65,700 ~ 3 Lacs+",Rs 0 ~ ,0,JHARKHAND,RAJMAHAL
2280,Barnard Hembrom,Rashtriya Krantikari Samajwadi Party,0,12th Pass,43,"Rs 80,01,008 ~ 80 Lacs+",Rs 0 ~ ,0,JHARKHAND,RAJMAHAL
2281,Dr. Anil Murmu,JVM(P), 1 ,Post Graduate,43,"Rs 29,86,472 ~ 29 Lacs+","Rs 3,28,617 ~ 3 Lacs+",0,JHARKHAND,RAJMAHAL
2282,Hemlal Murmu,BJP,0,Graduate,58,"Rs 4,18,94,447 ~ 4 Crore+","Rs 1,30,10,487 ~ 1 Crore+",0,JHARKHAND,RAJMAHAL
2283,Jyotin Soren,CPI(M), 1 ,Graduate,66,"Rs 19,01,675 ~ 19 Lacs+","Rs 90,000 ~ 90 Thou+",0,JHARKHAND,RAJMAHAL
2284,Krishna Singh,IUML,0,12th Pass,42,"Rs 6,80,000 ~ 6 Lacs+","Rs 26,80,000 ~ 26 Lacs+",0,JHARKHAND,RAJMAHAL
2285,Saniram Hembrom,IND,0,10th Pass,45,"Rs 10,90,000 ~ 10 Lacs+",Rs 0 ~ ,0,JHARKHAND,RAJMAHAL
2286,Surae Soren,IND,0,Doctorate,33,"Rs 5,66,012 ~ 5 Lacs+",Rs 0 ~ ,0,JHARKHAND,RAJMAHAL
2287,Tala Hansda,IND,0,8th Pass,41,"Rs 17,14,000 ~ 17 Lacs+",Rs 0 ~ ,0,JHARKHAND,RAJMAHAL
2288,Ramtahal Choudhary   Winner ,BJP,0,10th Pass,72,"Rs 1,07,43,950 ~ 1 Crore+",Rs 0 ~ ,1,JHARKHAND,RANCHI
2289,Abul Hasan,IND,0,Post Graduate,38,"Rs 1,65,500 ~ 1 Lacs+",Rs 0 ~ ,0,JHARKHAND,RANCHI
2290,Amanullah,AAP,0,Post Graduate,44,"Rs 23,91,132 ~ 23 Lacs+","Rs 1,26,000 ~ 1 Lacs+",0,JHARKHAND,RANCHI
2291,Amit Kumar Singh,IND,0,12th Pass,33,"Rs 11,69,044 ~ 11 Lacs+","Rs 9,000 ~ 9 Thou+",0,JHARKHAND,RANCHI
2292,Amitabh Choudhary,JVM(P),0,Graduate Professional,54,"Rs 1,79,31,854 ~ 1 Crore+","Rs 10,95,618 ~ 10 Lacs+",0,JHARKHAND,RANCHI
2293,Anjani Pandey,IND,0,Graduate Professional,56,"Rs 25,000 ~ 25 Thou+",Rs 0 ~ ,0,JHARKHAND,RANCHI
2294,Arsad Ayub,IND, 1 ,10th Pass,43,"Rs 57,46,855 ~ 57 Lacs+",Rs 0 ~ ,0,JHARKHAND,RANCHI
2295,Bahadur Uraon,CPI(ML)L, 1 ,10th Pass,70,"Rs 9,92,464 ~ 9 Lacs+","Rs 6,00,000 ~ 6 Lacs+",0,JHARKHAND,RANCHI
2296,Balram Kumar Bedia,IND,0,12th Pass,35,"Rs 52,87,989 ~ 52 Lacs+","Rs 1,25,000 ~ 1 Lacs+",0,JHARKHAND,RANCHI
2297,Bandhu Tirkey,AITC, 7 ,Graduate,53,"Rs 18,32,121 ~ 18 Lacs+","Rs 12,61,689 ~ 12 Lacs+",0,JHARKHAND,RANCHI
2298,Birendra Kumar Jaiswal,IND,0,10th Pass,48,"Rs 1,02,01,398 ~ 1 Crore+","Rs 16,98,482 ~ 16 Lacs+",0,JHARKHAND,RANCHI
2299,Bisheshwar Mahto,Samata Party,0,10th Pass,49,"Rs 99,99,500 ~ 99 Lacs+","Rs 3,00,000 ~ 3 Lacs+",0,JHARKHAND,RANCHI
2300,Chintamani Mahto,IND, 1 ,12th Pass,43,"Rs 77,63,850 ~ 77 Lacs+","Rs 26,150 ~ 26 Thou+",0,JHARKHAND,RANCHI
2301,Durga Munda,BSP,0,8th Pass,39,"Rs 1,68,42,973 ~ 1 Crore+",Rs 0 ~ ,0,JHARKHAND,RANCHI
2302,Kafilur Rahman,IND,0,Graduate Professional,39,"Rs 9,20,000 ~ 9 Lacs+",Rs 0 ~ ,0,JHARKHAND,RANCHI
2303,Lal Jotindra Dev,Akhil Bhartiya Jharkhand Party,0,Post Graduate,0,"Rs 72,16,000 ~ 72 Lacs+",Rs 0 ~ ,0,JHARKHAND,RANCHI
2304,Man Singh Mardi,Jharkhand Party (Naren),0,12th Pass,36,"Rs 40,000 ~ 40 Thou+",Rs 0 ~ ,0,JHARKHAND,RANCHI
